Process,Burst time,Arrival Time,,Arrival Time(normalized)
P2262,209,23.5,,0.235
P2263,148,38.25,,0.3825
P2264,205,85.5,,0.855
P2265,277,45.5,,0.455
P2266,217,91.75,,0.9175
P2267,171,58.5,,0.585
P2268,289,36,,0.36
P2269,246,49.75,,0.4975
P2270,101,46.5,,0.465
P2271,194,59.75,,0.5975
P2272,203,40,,0.4
P2273,183,36.25,,0.3625
P2274,206,36.5,,0.365
P2275,214,46.25,,0.4625
P2276,145,37.25,,0.3725
P2277,232,58,,0.58
P2278,283,85.25,,0.8525
P2279,174,28.25,,0.2825
P2280,278,38.75,,0.3875
P2281,176,55.5,,0.555
P2282,211,47.75,,0.4775
P2283,328,81.75,,0.8175
P2284,209,68.25,,0.6825
P2285,221,38,,0.38
P2286,198,28.25,,0.2825
P2287,184,31.5,,0.315
P2288,210,44.25,,0.4425
P2289,166,63.5,,0.635
P2290,240,35,,0.35
P2291,224,24,,0.24
P2292,138,67.5,,0.675
P2293,200,14,,0.14
P2294,227,49.75,,0.4975
P2295,161,47,,0.47
P2296,196,41.25,,0.4125
P2297,224,38.25,,0.3825
P2298,203,65.25,,0.6525
P2299,150,39.5,,0.395
P2300,242,100,,1
P2301,161,43.75,,0.4375
P2302,170,38.25,,0.3825
P2303,199,35.25,,0.3525
P2304,213,40.25,,0.4025
P2305,176,51.5,,0.515
P2306,254,50.5,,0.505
P2307,242,73.5,,0.735
P2308,245,70.25,,0.7025
P2309,183,64.75,,0.6475
P2310,205,37,,0.37
P2311,204,34.25,,0.3425
P2312,223,64.25,,0.6425
P2313,216,59.25,,0.5925
P2314,226,53.25,,0.5325
P2315,196,52.75,,0.5275
P2316,277,56,,0.56
P2317,319,57.75,,0.5775
P2318,206,60.75,,0.6075
P2319,242,70.25,,0.7025
P2320,143,35.25,,0.3525
P2321,104,65.25,,0.6525
P2322,229,49.5,,0.495
P2323,186,40.5,,0.405
P2324,271,59.5,,0.595
P2325,227,59.25,,0.5925
P2326,139,56.25,,0.5625
P2327,141,44.25,,0.4425
P2328,182,90.25,,0.9025
P2329,201,43.75,,0.4375
P2330,322,55,,0.55
P2331,209,55,,0.55
P2332,179,35.75,,0.3575
P2333,203,38.25,,0.3825
P2334,75,41.5,,0.415
P2335,234,52.75,,0.5275
P2336,238,32.5,,0.325
P2337,188,72.5,,0.725
P2338,190,45,,0.45
P2339,173,41.5,,0.415
P2340,95,35.5,,0.355
P2341,257,78.5,,0.785
P2342,229,43.25,,0.4325
P2343,248,89.75,,0.8975
P2344,150,65.75,,0.6575
P2345,171,45.75,,0.4575
P2346,185,60.5,,0.605
P2347,291,61.75,,0.6175
P2348,178,71.75,,0.7175
P2349,211,52.5,,0.525
P2350,196,25,,0.25
P2351,180,49.25,,0.4925
P2352,172,54,,0.54
P2353,111,25.75,,0.2575
P2354,220,44.25,,0.4425
P2355,239,46.25,,0.4625
P2356,264,23,,0.23
P2357,236,47.5,,0.475
P2358,192,63,,0.63
P2359,201,83.5,,0.835
P2360,231,68.25,,0.6825
P2361,189,62,,0.62
P2362,171,44,,0.44
P2363,127,73.5,,0.735
P2364,291,23.25,,0.2325
P2365,215,30,,0.3
P2366,195,42.5,,0.425
P2367,289,64.5,,0.645
P2368,212,62,,0.62
P2369,188,69.75,,0.6975
P2370,202,28,,0.28
P2371,240,29.75,,0.2975
P2372,210,51.25,,0.5125
P2373,155,57,,0.57
P2374,195,62.75,,0.6275
P2375,197,47,,0.47
P2376,171,70,,0.7
P2377,181,56.5,,0.565
P2378,189,60.5,,0.605
P2379,287,54.5,,0.545
P2380,192,42.25,,0.4225
P2381,155,50.25,,0.5025
P2382,169,55.5,,0.555
P2383,151,60.5,,0.605
P2384,177,70.75,,0.7075
P2385,245,47,,0.47
P2386,131,19.5,,0.195
P2387,137,65,,0.65
P2388,156,23.5,,0.235
P2389,264,43,,0.43
P2390,238,79.5,,0.795
P2391,263,42.75,,0.4275
P2392,252,48.25,,0.4825
P2393,192,81.25,,0.8125
P2394,317,62.75,,0.6275
P2395,141,31.5,,0.315
P2396,74,59,,0.59
P2397,271,58.25,,0.5825
P2398,116,65.25,,0.6525
P2399,262,46,,0.46
P2400,245,28.25,,0.2825
P2401,262,60,,0.6
P2402,220,37.75,,0.3775
P2403,165,65.75,,0.6575
P2404,240,26.25,,0.2625
P2405,90,38.75,,0.3875
P2406,195,66,,0.66
P2407,202,57.75,,0.5775
P2408,137,28.5,,0.285
P2409,154,35.75,,0.3575
P2410,160,83.75,,0.8375
P2411,233,47.25,,0.4725
P2412,203,44.75,,0.4475
P2413,265,42.5,,0.425
P2414,303,48.75,,0.4875
P2415,243,35,,0.35
P2416,244,68.75,,0.6875
P2417,258,68.25,,0.6825
P2418,274,29.75,,0.2975
P2419,136,74.5,,0.745
P2420,177,79,,0.79
P2421,263,48.25,,0.4825
P2422,262,59.5,,0.595
P2423,281,44,,0.44
P2424,226,48.75,,0.4875
P2425,242,69.5,,0.695
P2426,142,71.5,,0.715
P2427,162,55.25,,0.5525
P2428,109,42.5,,0.425
P2429,149,39.25,,0.3925
P2430,222,23.5,,0.235
P2431,228,74.5,,0.745
P2432,256,43.5,,0.435
P2433,204,43.25,,0.4325
P2434,150,65,,0.65
P2435,338,57.25,,0.5725
P2436,150,57.5,,0.575
P2437,148,45.75,,0.4575
P2438,245,87,,0.87
P2439,278,60,,0.6
P2440,286,87.75,,0.8775
P2441,203,35.75,,0.3575
P2442,295,53.75,,0.5375
P2443,225,43,,0.43
P2444,258,83.5,,0.835
P2445,245,61,,0.61
P2446,206,70,,0.7
P2447,197,40.75,,0.4075
P2448,227,51.25,,0.5125
P2449,220,55.5,,0.555
P2450,243,69.75,,0.6975
P2451,77,54.75,,0.5475
P2452,214,79,,0.79
P2453,210,50.75,,0.5075
P2454,282,63.5,,0.635
P2455,109,42.75,,0.4275
P2456,151,12.75,,0.1275
P2457,214,39.5,,0.395
P2458,234,30.25,,0.3025
P2459,233,49.5,,0.495
P2460,243,31.25,,0.3125
P2461,335,100,,1
P2462,219,53.5,,0.535
P2463,214,51.5,,0.515
P2464,339,43.75,,0.4375
P2465,228,18.75,,0.1875
P2466,326,27,,0.27
P2467,102,42.5,,0.425
P2468,197,87.75,,0.8775
P2469,302,73.5,,0.735
P2470,248,45.5,,0.455
P2471,260,52.25,,0.5225
P2472,305,54.75,,0.5475
P2473,139,53.75,,0.5375
P2474,254,60.75,,0.6075
P2475,117,52.75,,0.5275
P2476,341,53.25,,0.5325
P2477,218,34.5,,0.345
P2478,271,34.75,,0.3475
P2479,96,82.5,,0.825
P2480,145,63,,0.63
P2481,166,59,,0.59
P2482,185,57,,0.57
P2483,208,27.5,,0.275
P2484,158,67.5,,0.675
P2485,247,18,,0.18
P2486,197,36.5,,0.365
P2487,274,65,,0.65
P2488,74,25.75,,0.2575
P2489,120,42.5,,0.425
P2490,292,46.5,,0.465
P2491,223,20,,0.2
P2492,169,81,,0.81
P2493,173,43.75,,0.4375
P2494,224,46,,0.46
P2495,125,58,,0.58
P2496,122,43.25,,0.4325
P2497,216,34.75,,0.3475
P2498,174,46.75,,0.4675
P2499,245,32.25,,0.3225
P2500,242,52.5,,0.525
P2501,147,71.25,,0.7125
P2502,276,64,,0.64
P2503,144,56.75,,0.5675
P2504,229,40,,0.4
P2505,103,59.25,,0.5925
P2506,237,64.25,,0.6425
P2507,183,60.5,,0.605
P2508,159,26.5,,0.265
P2509,211,38.25,,0.3825
P2510,215,52.75,,0.5275
P2511,190,56,,0.56
P2512,248,28,,0.28
P2513,165,62.25,,0.6225
P2514,299,61.25,,0.6125
P2515,203,59,,0.59
P2516,240,64.5,,0.645
P2517,177,40.25,,0.4025
P2518,222,67.5,,0.675
P2519,203,31.75,,0.3175
P2520,199,44.25,,0.4425
P2521,261,57.75,,0.5775
P2522,170,42.25,,0.4225
P2523,196,40.75,,0.4075
P2524,201,28.75,,0.2875
P2525,181,55.5,,0.555
P2526,205,49,,0.49
P2527,197,32,,0.32
P2528,123,50,,0.5
P2529,172,42.5,,0.425
P2530,198,53,,0.53
P2531,156,13,,0.13
P2532,218,59,,0.59
P2533,120,53.75,,0.5375
P2534,133,79,,0.79
P2535,287,77.25,,0.7725
P2536,229,41,,0.41
P2537,218,58.75,,0.5875
P2538,257,42.75,,0.4275
P2539,289,23.25,,0.2325
P2540,219,49.5,,0.495
P2541,113,43.75,,0.4375
P2542,333,53.25,,0.5325
P2543,143,60,,0.6
P2544,222,61.75,,0.6175
P2545,251,39.25,,0.3925
P2546,172,55.25,,0.5525
P2547,153,30.75,,0.3075
P2548,200,67.75,,0.6775
P2549,290,52.75,,0.5275
P2550,189,40.5,,0.405
P2551,137,47,,0.47
P2552,174,44,,0.44
P2553,132,71,,0.71
P2554,178,64.25,,0.6425
P2555,200,62.25,,0.6225
P2556,117,59.5,,0.595
P2557,251,52.75,,0.5275
P2558,172,49,,0.49
P2559,242,48.75,,0.4875
P2560,192,74.25,,0.7425
P2561,181,47.5,,0.475
P2562,231,45.25,,0.4525
P2563,144,65.75,,0.6575
P2564,289,53.5,,0.535
P2565,208,58,,0.58
P2566,250,37.75,,0.3775
P2567,149,44.5,,0.445
P2568,87,59.5,,0.595
P2569,141,72.75,,0.7275
P2570,168,33.75,,0.3375
P2571,197,48.25,,0.4825
P2572,125,43,,0.43
P2573,248,51.75,,0.5175
P2574,228,45,,0.45
P2575,266,67,,0.67
P2576,216,53.25,,0.5325
P2577,151,32.5,,0.325
P2578,134,51.75,,0.5175
P2579,219,68.25,,0.6825
P2580,122,29.5,,0.295
P2581,311,64.5,,0.645
P2582,245,30.75,,0.3075
P2583,292,55.75,,0.5575
P2584,300,67.5,,0.675
P2585,260,70.75,,0.7075
P2586,106,76.5,,0.765
P2587,282,39.75,,0.3975
P2588,197,47.5,,0.475
P2589,123,38.5,,0.385
P2590,235,38.25,,0.3825
P2591,126,47.25,,0.4725
P2592,280,66.5,,0.665
P2593,259,46.75,,0.4675
P2594,109,57.5,,0.575
P2595,175,74.75,,0.7475
P2596,218,40.5,,0.405
P2597,65,31.75,,0.3175
P2598,202,38.5,,0.385
P2599,235,53.25,,0.5325
P2600,204,57.75,,0.5775
P2601,249,36,,0.36
P2602,144,34.75,,0.3475
P2603,125,31.5,,0.315
P2604,266,48.5,,0.485
P2605,179,53,,0.53
P2606,139,46.25,,0.4625
P2607,187,23,,0.23
P2608,150,43,,0.43
P2609,242,71.75,,0.7175
P2610,273,63.75,,0.6375
P2611,146,34.75,,0.3475
P2612,353,27,,0.27
P2613,249,63.5,,0.635
P2614,203,36.75,,0.3675
P2615,288,59.75,,0.5975
P2616,169,95,,0.95
P2617,175,49.25,,0.4925
P2618,93,37.75,,0.3775
P2619,301,38,,0.38
P2620,119,88.25,,0.8825
P2621,170,29,,0.29
P2622,192,45.75,,0.4575
P2623,227,66.75,,0.6675
P2624,159,69,,0.69
P2625,357,44.25,,0.4425
P2626,181,64.75,,0.6475
P2627,224,90,,0.9
P2628,163,86.75,,0.8675
P2629,275,45.5,,0.455
P2630,127,86.5,,0.865
P2631,224,37.25,,0.3725
P2632,217,50.25,,0.5025
P2633,140,59.75,,0.5975
P2634,170,61.75,,0.6175
P2635,186,62.25,,0.6225
P2636,121,50.25,,0.5025
P2637,182,72,,0.72
P2638,228,30.75,,0.3075
P2639,169,68.5,,0.685
P2640,168,42.75,,0.4275
P2641,206,62.25,,0.6225
P2642,251,42.75,,0.4275
P2643,232,48.5,,0.485
P2644,291,39.5,,0.395
P2645,189,44.5,,0.445
P2646,259,38.25,,0.3825
P2647,188,32,,0.32
P2648,160,46,,0.46
P2649,220,30.75,,0.3075
P2650,240,33.75,,0.3375
P2651,222,57.25,,0.5725
P2652,176,56.25,,0.5625
P2653,92,36.5,,0.365
P2654,184,51.25,,0.5125
P2655,188,54,,0.54
P2656,112,45.5,,0.455
P2657,200,2.5,,0.025
P2658,309,84.25,,0.8425
P2659,154,63,,0.63
P2660,181,35.75,,0.3575
P2661,194,30.5,,0.305
P2662,276,49.25,,0.4925
P2663,132,28.75,,0.2875
P2664,215,34.25,,0.3425
P2665,248,54,,0.54
P2666,218,40.25,,0.4025
P2667,177,54.5,,0.545
P2668,130,49.25,,0.4925
P2669,279,58.25,,0.5825
P2670,224,17.5,,0.175
P2671,203,40.75,,0.4075
P2672,110,53.25,,0.5325
P2673,191,43.5,,0.435
P2674,142,50.75,,0.5075
P2675,279,40.25,,0.4025
P2676,199,42.25,,0.4225
P2677,156,55.75,,0.5575
P2678,151,61.5,,0.615
P2679,156,65,,0.65
P2680,130,53.75,,0.5375
P2681,232,44.75,,0.4475
P2682,254,56.5,,0.565
P2683,267,41,,0.41
P2684,179,66.75,,0.6675
P2685,210,31,,0.31
P2686,246,62,,0.62
P2687,195,74,,0.74
P2688,175,51,,0.51
P2689,287,55.25,,0.5525
P2690,246,64,,0.64
P2691,248,37,,0.37
P2692,236,46.5,,0.465
P2693,262,69,,0.69
P2694,143,63.75,,0.6375
P2695,287,40.5,,0.405
P2696,115,48,,0.48
P2697,209,40,,0.4
P2698,146,30.25,,0.3025
P2699,217,34.25,,0.3425
P2700,333,84.25,,0.8425
P2701,258,52.5,,0.525
P2702,316,26,,0.26
P2703,203,61,,0.61
P2704,271,60.75,,0.6075
P2705,206,46.75,,0.4675
P2706,314,39,,0.39
P2707,284,64,,0.64
P2708,278,63,,0.63
P2709,274,35.5,,0.355
P2710,150,70.5,,0.705
P2711,124,44.25,,0.4425
P2712,187,74.75,,0.7475
P2713,192,50,,0.5
P2714,159,42.25,,0.4225
P2715,204,66.25,,0.6625
P2716,211,60.75,,0.6075
P2717,215,45.5,,0.455
P2718,229,21.5,,0.215
P2719,228,29,,0.29
P2720,262,56,,0.56
P2721,211,53.25,,0.5325
P2722,220,39.25,,0.3925
P2723,228,50.25,,0.5025
P2724,114,42.75,,0.4275
P2725,240,49.75,,0.4975
P2726,198,32.75,,0.3275
P2727,139,73.75,,0.7375
P2728,239,32,,0.32
P2729,191,68.75,,0.6875
P2730,291,11.75,,0.1175
P2731,279,49,,0.49
P2732,222,66.5,,0.665
P2733,172,55.5,,0.555
P2734,209,24.25,,0.2425
P2735,168,69.25,,0.6925
P2736,214,57.25,,0.5725
P2737,216,52.5,,0.525
P2738,284,42.25,,0.4225
P2739,237,59.25,,0.5925
P2740,159,20.5,,0.205
P2741,204,30.25,,0.3025
P2742,103,41,,0.41
P2743,270,41,,0.41
P2744,136,47.5,,0.475
P2745,287,82.75,,0.8275
P2746,268,61.75,,0.6175
P2747,157,30.5,,0.305
P2748,152,63,,0.63
P2749,209,66,,0.66
P2750,156,73.5,,0.735
P2751,175,55.25,,0.5525
P2752,197,66.5,,0.665
P2753,169,41.25,,0.4125
P2754,217,42.75,,0.4275
P2755,137,34.25,,0.3425
P2756,143,31.25,,0.3125
P2757,195,38.25,,0.3825
P2758,130,42.5,,0.425
P2759,327,60.5,,0.605
P2760,228,49.5,,0.495
P2761,319,39.25,,0.3925
P2762,115,33,,0.33
P2763,219,72.75,,0.7275
P2764,213,60,,0.6
P2765,253,60.25,,0.6025
P2766,321,39.5,,0.395
P2767,227,59.25,,0.5925
P2768,257,52.5,,0.525
P2769,234,46.25,,0.4625
P2770,248,34.5,,0.345
P2771,207,74.75,,0.7475
P2772,193,55,,0.55
P2773,164,12.25,,0.1225
P2774,268,53.75,,0.5375
P2775,155,72.5,,0.725
P2776,249,93.5,,0.935
P2777,269,63.5,,0.635
P2778,248,35.5,,0.355
P2779,108,56.25,,0.5625
P2780,296,40,,0.4
P2781,261,50.5,,0.505
P2782,151,66.5,,0.665
P2783,263,24.75,,0.2475
P2784,110,65.5,,0.655
P2785,287,42.75,,0.4275
P2786,163,34.5,,0.345
P2787,221,44,,0.44
P2788,242,53.75,,0.5375
P2789,139,60.25,,0.6025
P2790,206,74.75,,0.7475
P2791,206,47.25,,0.4725
P2792,150,76,,0.76
P2793,257,60,,0.6
P2794,240,58.25,,0.5825
P2795,121,53,,0.53
P2796,216,18.75,,0.1875
P2797,137,80.5,,0.805
P2798,209,93,,0.93
P2799,202,31,,0.31
P2800,274,34.25,,0.3425
P2801,224,39.25,,0.3925
P2802,203,79.5,,0.795
P2803,192,60.5,,0.605
P2804,179,80,,0.8
P2805,102,68.5,,0.685
P2806,295,62.75,,0.6275
P2807,131,48,,0.48
P2808,304,54.25,,0.5425
P2809,198,60.25,,0.6025
P2810,195,37.25,,0.3725
P2811,206,66,,0.66
P2812,311,50,,0.5
P2813,208,48.5,,0.485
P2814,326,52.25,,0.5225
P2815,161,54,,0.54
P2816,250,55,,0.55
P2817,253,44.75,,0.4475
P2818,280,30.75,,0.3075
P2819,154,59.75,,0.5975
P2820,186,91.25,,0.9125
P2821,259,63.75,,0.6375
P2822,206,51.5,,0.515
P2823,196,73,,0.73
P2824,300,59.25,,0.5925
P2825,266,30.25,,0.3025
P2826,233,40.75,,0.4075
P2827,241,49.5,,0.495
P2828,231,16.25,,0.1625
P2829,268,32,,0.32
P2830,200,71.75,,0.7175
P2831,198,70.25,,0.7025
P2832,232,66.25,,0.6625
P2833,220,30,,0.3
P2834,177,45.5,,0.455
P2835,190,21.75,,0.2175
P2836,169,51.25,,0.5125
P2837,219,39,,0.39
P2838,180,4.75,,0.0475
P2839,214,39.5,,0.395
P2840,270,79.25,,0.7925
P2841,136,74.5,,0.745
P2842,248,30.75,,0.3075
P2843,191,53.75,,0.5375
P2844,227,73.25,,0.7325
P2845,160,66.5,,0.665
P2846,184,13.5,,0.135
P2847,164,80.25,,0.8025
P2848,239,49.5,,0.495
P2849,182,60,,0.6
P2850,208,65,,0.65
P2851,324,33.25,,0.3325
P2852,170,29.75,,0.2975
P2853,172,43,,0.43
P2854,53,75.75,,0.7575
P2855,215,52.5,,0.525
P2856,71,65.5,,0.655
P2857,170,42.5,,0.425
P2858,144,52.5,,0.525
P2859,225,71.75,,0.7175
P2860,262,63,,0.63
P2861,133,47.5,,0.475
P2862,271,61,,0.61
P2863,182,71.5,,0.715
P2864,331,51.75,,0.5175
P2865,216,36.5,,0.365
P2866,173,39.25,,0.3925
P2867,135,24.75,,0.2475
P2868,304,64.75,,0.6475
P2869,211,76.5,,0.765
P2870,209,74,,0.74
P2871,169,45.5,,0.455
P2872,166,53.5,,0.535
P2873,224,73.25,,0.7325
P2874,277,42.75,,0.4275
P2875,148,52.75,,0.5275
P2876,237,45.25,,0.4525
P2877,203,34,,0.34
P2878,131,29.75,,0.2975
P2879,173,53.25,,0.5325
P2880,268,42,,0.42
P2881,238,71.25,,0.7125
P2882,233,77.25,,0.7725
P2883,156,65.75,,0.6575
P2884,159,57.25,,0.5725
P2885,241,41.25,,0.4125
P2886,121,66.5,,0.665
P2887,228,60.5,,0.605
P2888,271,32.25,,0.3225
P2889,219,59.25,,0.5925
P2890,268,42.5,,0.425
P2891,204,53.75,,0.5375
P2892,278,65.75,,0.6575
P2893,192,57.25,,0.5725
P2894,297,81.5,,0.815
P2895,251,58.25,,0.5825
P2896,204,42.5,,0.425
P2897,228,38.75,,0.3875
P2898,163,33.75,,0.3375
P2899,277,34.75,,0.3475
P2900,223,26,,0.26
P2901,145,87,,0.87
P2902,247,64.25,,0.6425
P2903,221,32.5,,0.325
P2904,218,37.25,,0.3725
P2905,242,33.75,,0.3375
P2906,235,84.5,,0.845
P2907,249,45.5,,0.455
P2908,213,60.75,,0.6075
P2909,146,60.75,,0.6075
P2910,136,44.5,,0.445
P2911,250,70.5,,0.705
P2912,128,82.25,,0.8225
P2913,233,76.25,,0.7625
P2914,156,51.75,,0.5175
P2915,218,69.25,,0.6925
P2916,240,49.75,,0.4975
P2917,234,18.5,,0.185
P2918,64,49,,0.49
P2919,263,50.25,,0.5025
P2920,207,73.75,,0.7375
P2921,181,28,,0.28
P2922,236,64.75,,0.6475
P2923,158,38.25,,0.3825
P2924,200,36.5,,0.365
P2925,237,35.75,,0.3575
P2926,186,46.25,,0.4625
P2927,231,46,,0.46
P2928,171,60.25,,0.6025
P2929,283,71,,0.71
P2930,121,37.25,,0.3725
P2931,299,49,,0.49
P2932,195,33.25,,0.3325
P2933,259,49.5,,0.495
P2934,210,26.25,,0.2625
P2935,138,58.75,,0.5875
P2936,282,71.25,,0.7125
P2937,190,63.5,,0.635
P2938,175,53,,0.53
P2939,273,40.5,,0.405
P2940,135,49.5,,0.495
P2941,212,38.5,,0.385
P2942,260,44.5,,0.445
P2943,188,59.25,,0.5925
P2944,180,28.75,,0.2875
P2945,232,71.25,,0.7125
P2946,362,63,,0.63
P2947,262,62.5,,0.625
P2948,222,40.75,,0.4075
P2949,227,37.25,,0.3725
P2950,180,38.75,,0.3875
P2951,192,47.75,,0.4775
P2952,210,70,,0.7
P2953,185,70,,0.7
P2954,199,54.75,,0.5475
P2955,199,49.25,,0.4925
P2956,281,53.5,,0.535
P2957,205,54,,0.54
P2958,159,43.75,,0.4375
P2959,169,72,,0.72
P2960,247,46,,0.46
P2961,129,62,,0.62
P2962,215,50,,0.5
P2963,269,47,,0.47
P2964,194,58.5,,0.585
P2965,287,64,,0.64
P2966,343,33.5,,0.335
P2967,160,69.25,,0.6925
P2968,220,71.5,,0.715
P2969,273,55.75,,0.5575
P2970,223,70.75,,0.7075
P2971,147,39,,0.39
P2972,255,43,,0.43
P2973,231,62,,0.62
P2974,169,31,,0.31
P2975,231,55.5,,0.555
P2976,250,34.5,,0.345
P2977,206,52.25,,0.5225
P2978,189,78.5,,0.785
P2979,192,43,,0.43
P2980,248,44.75,,0.4475
P2981,293,100,,1
P2982,179,54.75,,0.5475
P2983,170,40.5,,0.405
P2984,194,56,,0.56
P2985,117,36.75,,0.3675
P2986,272,62.75,,0.6275
P2987,186,23.5,,0.235
P2988,204,18.75,,0.1875
P2989,212,77,,0.77
P2990,201,38.75,,0.3875
P2991,163,65,,0.65
P2992,214,70,,0.7
P2993,212,40.25,,0.4025
P2994,210,76.5,,0.765
P2995,110,46,,0.46
P2996,200,74.5,,0.745
P2997,263,12,,0.12
P2998,129,53.5,,0.535
P2999,241,43.5,,0.435
P3000,173,56.5,,0.565
P3001,203,52,,0.52
P3002,74,40.25,,0.4025
P3003,75,30,,0.3
P3004,231,33.5,,0.335
P3005,200,71,,0.71
P3006,278,30.5,,0.305
P3007,165,59.75,,0.5975
P3008,259,58.5,,0.585
P3009,182,69,,0.69
P3010,218,75.25,,0.7525
P3011,206,56.5,,0.565
P3012,291,23,,0.23
P3013,231,32.5,,0.325
P3014,92,49.5,,0.495
P3015,280,56.25,,0.5625
P3016,136,67,,0.67
P3017,207,35.5,,0.355
P3018,203,19.5,,0.195
P3019,229,42,,0.42
P3020,202,77.75,,0.7775
P3021,154,61.75,,0.6175
P3022,177,47.5,,0.475
P3023,165,49.5,,0.495
P3024,197,55,,0.55
P3025,152,61.75,,0.6175
P3026,240,65,,0.65
P3027,313,62.25,,0.6225
P3028,229,48.5,,0.485
P3029,146,56.5,,0.565
P3030,212,85.5,,0.855
P3031,208,27,,0.27
P3032,198,83.25,,0.8325
P3033,109,62.5,,0.625
P3034,112,46.25,,0.4625
P3035,261,46.75,,0.4675
P3036,224,54.5,,0.545
P3037,152,42.5,,0.425
P3038,242,30.5,,0.305
P3039,249,65,,0.65
P3040,132,56.25,,0.5625
P3041,221,40.25,,0.4025
P3042,203,49,,0.49
P3043,238,70,,0.7
P3044,337,55.25,,0.5525
P3045,171,45.5,,0.455
P3046,227,57.5,,0.575
P3047,218,56.25,,0.5625
P3048,270,61.5,,0.615
P3049,277,30.75,,0.3075
P3050,153,44.75,,0.4475
P3051,207,65,,0.65
P3052,241,66.5,,0.665
P3053,262,59,,0.59
P3054,70,58.25,,0.5825
P3055,162,69,,0.69
P3056,220,59.5,,0.595
P3057,268,39.75,,0.3975
P3058,204,27,,0.27
P3059,227,61.5,,0.615
P3060,184,39,,0.39
P3061,250,45.25,,0.4525
P3062,201,52,,0.52
P3063,308,59.25,,0.5925
P3064,188,27.5,,0.275
P3065,137,42,,0.42
P3066,252,50.5,,0.505
P3067,286,67,,0.67
P3068,234,40.75,,0.4075
P3069,207,31.25,,0.3125
P3070,240,31.75,,0.3175
P3071,238,58.75,,0.5875
P3072,226,52,,0.52
P3073,221,40.5,,0.405
P3074,160,53,,0.53
P3075,242,43.5,,0.435
P3076,183,58.25,,0.5825
P3077,303,73,,0.73
P3078,209,82.75,,0.8275
P3079,209,44.5,,0.445
P3080,232,42.5,,0.425
P3081,245,47.25,,0.4725
P3082,232,52,,0.52
P3083,284,59,,0.59
P3084,260,51.25,,0.5125
P3085,189,66.25,,0.6625
P3086,184,43.25,,0.4325
P3087,208,69.5,,0.695
P3088,157,42,,0.42
P3089,240,22.75,,0.2275
P3090,180,57.25,,0.5725
P3091,240,26,,0.26
P3092,120,49.5,,0.495
P3093,138,31.5,,0.315
P3094,217,42.75,,0.4275
P3095,304,50.5,,0.505
P3096,321,60.75,,0.6075
P3097,321,72,,0.72
P3098,201,43.75,,0.4375
P3099,210,57.75,,0.5775
P3100,257,53,,0.53
P3101,258,18.75,,0.1875
P3102,246,72.25,,0.7225
P3103,149,23.5,,0.235
P3104,196,52.75,,0.5275
P3105,162,59,,0.59
P3106,183,59.5,,0.595
P3107,253,30.5,,0.305
P3108,193,48.5,,0.485
P3109,172,65,,0.65
P3110,208,52,,0.52
P3111,138,59,,0.59
P3112,186,73.25,,0.7325
P3113,104,38,,0.38
P3114,246,56.25,,0.5625
P3115,211,34.5,,0.345
P3116,215,38.25,,0.3825
P3117,152,50.5,,0.505
P3118,152,54.75,,0.5475
P3119,135,49,,0.49
P3120,181,38.75,,0.3875
P3121,208,54.5,,0.545
P3122,143,41.75,,0.4175
P3123,187,46.5,,0.465
P3124,284,66,,0.66
P3125,222,25.25,,0.2525
P3126,210,54.75,,0.5475
P3127,177,49.5,,0.495
P3128,176,33.25,,0.3325
P3129,176,37.75,,0.3775
P3130,139,21.5,,0.215
P3131,321,23,,0.23
P3132,262,64.5,,0.645
P3133,227,70,,0.7
P3134,278,54.25,,0.5425
P3135,262,34.5,,0.345
P3136,313,78.75,,0.7875
P3137,208,71.75,,0.7175
P3138,182,61,,0.61
P3139,238,48.75,,0.4875
P3140,169,56.5,,0.565
P3141,160,55.75,,0.5575
P3142,148,38.5,,0.385
P3143,214,47.25,,0.4725
P3144,208,52.5,,0.525
P3145,183,35.75,,0.3575
P3146,211,40.25,,0.4025
P3147,240,60.5,,0.605
P3148,211,49.25,,0.4925
P3149,140,72.5,,0.725
P3150,311,66.5,,0.665
P3151,241,26,,0.26
P3152,188,57.25,,0.5725
P3153,224,56.25,,0.5625
P3154,234,49.25,,0.4925
P3155,233,77,,0.77
P3156,171,68.75,,0.6875
P3157,236,49.5,,0.495
P3158,256,67.25,,0.6725
P3159,185,52.25,,0.5225
P3160,158,69,,0.69
P3161,197,67.75,,0.6775
P3162,151,55.5,,0.555
P3163,193,54.5,,0.545
P3164,196,55.25,,0.5525
P3165,215,48.5,,0.485
P3166,303,48.75,,0.4875
P3167,175,48,,0.48
P3168,164,46.25,,0.4625
P3169,169,33.25,,0.3325
P3170,260,64.25,,0.6425
P3171,166,29.5,,0.295
P3172,291,52.5,,0.525
P3173,336,46,,0.46
P3174,139,65.25,,0.6525
P3175,152,59.5,,0.595
P3176,247,70.75,,0.7075
P3177,195,65.25,,0.6525
P3178,171,66,,0.66
P3179,274,52,,0.52
P3180,252,76.75,,0.7675
P3181,202,52.75,,0.5275
P3182,221,79.75,,0.7975
P3183,241,70,,0.7
P3184,164,40.75,,0.4075
P3185,147,30.75,,0.3075
P3186,269,54.5,,0.545
P3187,129,52.5,,0.525
P3188,234,56.5,,0.565
P3189,176,38.5,,0.385
P3190,265,43.5,,0.435
P3191,253,41.75,,0.4175
P3192,245,56.5,,0.565
